config,num_layers,inference_time_ms,fps,avg_detections,speedup,detection_ratio
full_12,12,5.873221473302692,170.26430972262816,35.9,1.0,1.0
heavy_10,10,5.142396911978722,194.46184670626954,6.3,1.1421174938133587,0.1754874651810585
standard_8,8,4.428297763224691,225.82040627543503,1.1,1.326293259246823,0.030640668523676882
light_6,6,3.703073230572045,270.04596931655107,20.1,1.5860397857688076,0.5598885793871867
minimal_4,4,2.9826383339241147,335.2736363058634,16.5,1.969136320183874,0.4596100278551532
