Model,Parameters (M),Tracking Rate,Avg Confidence,Frames Tracked,Efficiency
yolov8n,3.2,0.8571428571428571,0.46772030161486733,36,0.26785714285714285
yolov8s,11.2,0.9680232558139535,0.764173401189638,333,0.08643064784053157
yolov8m,25.9,0.9294117647058824,0.6537777185440063,474,0.03588462411991824
yolov8l,43.7,0.8571428571428571,0.5377139242158996,36,0.019614253023864006
yolov8x,68.2,0.8536585365853658,0.5721983041082109,35,0.012516987339961375
Adaptive,46.71733333333332,0.6933333333333334,0.4745632696610231,52,0.014841029739140366
