Model,Parameters (M),Tracking Rate,Frames Tracked,Total Frames,Avg Confidence,FPS
yolov8n,3.151904,0.9846153846153847,384,390,0.6828266758626947,68.40573195348595
yolov8s,11.156544,0.9846938775510204,386,392,0.7496442560859294,70.09026494124642
yolov8m,25.88608,0.9845360824742269,382,388,0.7206283696190849,90.54514907827506
yolov8l,43.668288,0.9820051413881749,382,389,0.7205609734613858,56.02364782654583
yolov8x,68.200608,0.9846547314578005,385,391,0.7676838007840243,75.54688623289076
Adaptive,16.704381443298967,0.9819587628865979,381,388,0.7415551923391387,73.31416723800307
