layer,precision,recall,f1,tp,fp,fn
3,0.00040032025620496394,0.002008032128514056,0.0006675567423230974,2,4994,994
6,0.0,0.0,0.0,0,4957,996
9,0.0,0.0,0.0,0,4169,996
12,0.26582278481012656,0.42168674698795183,0.32608695652173914,420,1160,576
