frame,n_gt,n_det,tp,fp,fn,precision,recall,timing
1,23,23,9,14,14,0.391304347826087,0.391304347826087,"{'preprocess': 0.0814049243927002, 'inference': 0.19160819053649902, 'postprocess': 0.04807305335998535, 'total': 0.32108616828918457}"
2,23,20,11,9,12,0.55,0.4782608695652174,"{'preprocess': 0.07010912895202637, 'inference': 0.008438587188720703, 'postprocess': 0.03862166404724121, 'total': 0.11716938018798828}"
3,23,21,10,11,13,0.47619047619047616,0.43478260869565216,"{'preprocess': 0.06104397773742676, 'inference': 0.005929708480834961, 'postprocess': 0.04099297523498535, 'total': 0.10796666145324707}"
4,23,22,11,11,12,0.5,0.4782608695652174,"{'preprocess': 0.0553898811340332, 'inference': 0.006094455718994141, 'postprocess': 0.04083395004272461, 'total': 0.10231828689575195}"
5,23,25,11,14,12,0.44,0.4782608695652174,"{'preprocess': 0.055803775787353516, 'inference': 0.006064176559448242, 'postprocess': 0.04079914093017578, 'total': 0.10266709327697754}"
6,23,28,11,17,12,0.39285714285714285,0.4782608695652174,"{'preprocess': 0.05543994903564453, 'inference': 0.006013393402099609, 'postprocess': 0.03981757164001465, 'total': 0.10127091407775879}"
7,23,26,11,15,12,0.4230769230769231,0.4782608695652174,"{'preprocess': 0.05600094795227051, 'inference': 0.006059885025024414, 'postprocess': 0.039524078369140625, 'total': 0.10158491134643555}"
8,23,22,10,12,13,0.45454545454545453,0.43478260869565216,"{'preprocess': 0.05515742301940918, 'inference': 0.006058216094970703, 'postprocess': 0.039499521255493164, 'total': 0.10071516036987305}"
9,23,25,10,15,13,0.4,0.43478260869565216,"{'preprocess': 0.05538606643676758, 'inference': 0.006093502044677734, 'postprocess': 0.03878903388977051, 'total': 0.10026860237121582}"
10,23,28,10,18,13,0.35714285714285715,0.43478260869565216,"{'preprocess': 0.055199623107910156, 'inference': 0.005850076675415039, 'postprocess': 0.03846478462219238, 'total': 0.09951448440551758}"
11,23,21,9,12,14,0.42857142857142855,0.391304347826087,"{'preprocess': 0.05533719062805176, 'inference': 0.0057756900787353516, 'postprocess': 0.038619279861450195, 'total': 0.0997321605682373}"
12,23,23,9,14,14,0.391304347826087,0.391304347826087,"{'preprocess': 0.055284738540649414, 'inference': 0.005978822708129883, 'postprocess': 0.038748979568481445, 'total': 0.10001254081726074}"
13,23,22,9,13,14,0.4090909090909091,0.391304347826087,"{'preprocess': 0.05557584762573242, 'inference': 0.0061054229736328125, 'postprocess': 0.038271427154541016, 'total': 0.09995269775390625}"
14,22,25,9,16,13,0.36,0.4090909090909091,"{'preprocess': 0.05643606185913086, 'inference': 0.0058269500732421875, 'postprocess': 0.03852033615112305, 'total': 0.1007833480834961}"
15,22,24,9,15,13,0.375,0.4090909090909091,"{'preprocess': 0.055320024490356445, 'inference': 0.006063699722290039, 'postprocess': 0.038358211517333984, 'total': 0.09974193572998047}"
16,22,22,9,13,13,0.4090909090909091,0.4090909090909091,"{'preprocess': 0.05440521240234375, 'inference': 0.0058820247650146484, 'postprocess': 0.03867626190185547, 'total': 0.09896349906921387}"
17,22,22,9,13,13,0.4090909090909091,0.4090909090909091,"{'preprocess': 0.05392885208129883, 'inference': 0.005993366241455078, 'postprocess': 0.04005241394042969, 'total': 0.0999746322631836}"
18,22,17,9,8,13,0.5294117647058824,0.4090909090909091,"{'preprocess': 0.05588507652282715, 'inference': 0.00598454475402832, 'postprocess': 0.04013490676879883, 'total': 0.1020045280456543}"
19,22,19,9,10,13,0.47368421052631576,0.4090909090909091,"{'preprocess': 0.05400681495666504, 'inference': 0.006098508834838867, 'postprocess': 0.04003620147705078, 'total': 0.10014152526855469}"
