frame,n_gt,n_det,tp,fp,fn,precision,recall,timing
1,37,32,15,17,22,0.46875,0.40540540540540543,"{'preprocess': 0.05898141860961914, 'inference': 0.006168365478515625, 'postprocess': 0.038379669189453125, 'total': 0.10352945327758789}"
2,37,33,16,17,21,0.48484848484848486,0.43243243243243246,"{'preprocess': 0.05881500244140625, 'inference': 0.005770683288574219, 'postprocess': 0.03882193565368652, 'total': 0.10340762138366699}"
3,36,38,15,23,21,0.39473684210526316,0.4166666666666667,"{'preprocess': 0.05715036392211914, 'inference': 0.0059986114501953125, 'postprocess': 0.03858017921447754, 'total': 0.10172915458679199}"
4,36,36,14,22,22,0.3888888888888889,0.3888888888888889,"{'preprocess': 0.0603640079498291, 'inference': 0.005834817886352539, 'postprocess': 0.03886580467224121, 'total': 0.10506463050842285}"
5,35,35,14,21,21,0.4,0.4,"{'preprocess': 0.05907797813415527, 'inference': 0.005814790725708008, 'postprocess': 0.03885817527770996, 'total': 0.10375094413757324}"
6,36,35,16,19,20,0.45714285714285713,0.4444444444444444,"{'preprocess': 0.05883526802062988, 'inference': 0.0060384273529052734, 'postprocess': 0.038839101791381836, 'total': 0.10371279716491699}"
7,36,36,14,22,22,0.3888888888888889,0.3888888888888889,"{'preprocess': 0.05879783630371094, 'inference': 0.00600743293762207, 'postprocess': 0.03862953186035156, 'total': 0.10343480110168457}"
8,36,34,10,24,26,0.29411764705882354,0.2777777777777778,"{'preprocess': 0.05765867233276367, 'inference': 0.005873441696166992, 'postprocess': 0.04029417037963867, 'total': 0.10382628440856934}"
9,36,37,11,26,25,0.2972972972972973,0.3055555555555556,"{'preprocess': 0.06204938888549805, 'inference': 0.006453990936279297, 'postprocess': 0.03833293914794922, 'total': 0.10683631896972656}"
10,37,44,13,31,24,0.29545454545454547,0.35135135135135137,"{'preprocess': 0.05767941474914551, 'inference': 0.006102561950683594, 'postprocess': 0.03993654251098633, 'total': 0.10371851921081543}"
11,37,38,16,22,21,0.42105263157894735,0.43243243243243246,"{'preprocess': 0.057102203369140625, 'inference': 0.005963563919067383, 'postprocess': 0.040123701095581055, 'total': 0.10318946838378906}"
12,35,39,12,27,23,0.3076923076923077,0.34285714285714286,"{'preprocess': 0.05793642997741699, 'inference': 0.006062507629394531, 'postprocess': 0.04004645347595215, 'total': 0.10404539108276367}"
13,36,40,14,26,22,0.35,0.3888888888888889,"{'preprocess': 0.05907487869262695, 'inference': 0.006128549575805664, 'postprocess': 0.03846478462219238, 'total': 0.103668212890625}"
14,36,42,15,27,21,0.35714285714285715,0.4166666666666667,"{'preprocess': 0.057882070541381836, 'inference': 0.005834817886352539, 'postprocess': 0.03876757621765137, 'total': 0.10248446464538574}"
15,37,35,12,23,25,0.34285714285714286,0.32432432432432434,"{'preprocess': 0.057723045349121094, 'inference': 0.006079912185668945, 'postprocess': 0.03861522674560547, 'total': 0.10241818428039551}"
16,38,37,15,22,23,0.40540540540540543,0.39473684210526316,"{'preprocess': 0.058481693267822266, 'inference': 0.0065402984619140625, 'postprocess': 0.03830671310424805, 'total': 0.10332870483398438}"
17,39,38,15,23,24,0.39473684210526316,0.38461538461538464,"{'preprocess': 0.059224605560302734, 'inference': 0.006093025207519531, 'postprocess': 0.03850412368774414, 'total': 0.1038217544555664}"
18,41,36,16,20,25,0.4444444444444444,0.3902439024390244,"{'preprocess': 0.058174848556518555, 'inference': 0.006115913391113281, 'postprocess': 0.03872942924499512, 'total': 0.10302019119262695}"
19,41,40,15,25,26,0.375,0.36585365853658536,"{'preprocess': 0.058519840240478516, 'inference': 0.0061800479888916016, 'postprocess': 0.038407325744628906, 'total': 0.10310721397399902}"
20,41,39,16,23,25,0.41025641025641024,0.3902439024390244,"{'preprocess': 0.05864071846008301, 'inference': 0.005814790725708008, 'postprocess': 0.03923821449279785, 'total': 0.10369372367858887}"
21,40,37,13,24,27,0.35135135135135137,0.325,"{'preprocess': 0.05791115760803223, 'inference': 0.0058743953704833984, 'postprocess': 0.038713693618774414, 'total': 0.10249924659729004}"
22,39,36,15,21,24,0.4166666666666667,0.38461538461538464,"{'preprocess': 0.05866193771362305, 'inference': 0.006127834320068359, 'postprocess': 0.03861546516418457, 'total': 0.10340523719787598}"
23,40,34,12,22,28,0.35294117647058826,0.3,"{'preprocess': 0.0594635009765625, 'inference': 0.005998849868774414, 'postprocess': 0.03867292404174805, 'total': 0.10413527488708496}"
24,40,32,13,19,27,0.40625,0.325,"{'preprocess': 0.05854678153991699, 'inference': 0.00608372688293457, 'postprocess': 0.038590431213378906, 'total': 0.10322093963623047}"
25,40,34,15,19,25,0.4411764705882353,0.375,"{'preprocess': 0.05804014205932617, 'inference': 0.0060939788818359375, 'postprocess': 0.03850364685058594, 'total': 0.10263776779174805}"
26,41,31,15,16,26,0.4838709677419355,0.36585365853658536,"{'preprocess': 0.05833292007446289, 'inference': 0.005781412124633789, 'postprocess': 0.038748741149902344, 'total': 0.10286307334899902}"
27,41,34,13,21,28,0.38235294117647056,0.3170731707317073,"{'preprocess': 0.057352542877197266, 'inference': 0.0058133602142333984, 'postprocess': 0.03875303268432617, 'total': 0.10191893577575684}"
28,40,30,10,20,30,0.3333333333333333,0.25,"{'preprocess': 0.057159423828125, 'inference': 0.005833148956298828, 'postprocess': 0.03881573677062988, 'total': 0.10180830955505371}"
29,39,31,9,22,30,0.2903225806451613,0.23076923076923078,"{'preprocess': 0.05708169937133789, 'inference': 0.005854368209838867, 'postprocess': 0.038751840591430664, 'total': 0.10168790817260742}"
30,38,33,12,21,26,0.36363636363636365,0.3157894736842105,"{'preprocess': 0.05717658996582031, 'inference': 0.005879878997802734, 'postprocess': 0.03905439376831055, 'total': 0.1021108627319336}"
31,39,32,11,21,28,0.34375,0.28205128205128205,"{'preprocess': 0.058806657791137695, 'inference': 0.005978107452392578, 'postprocess': 0.03867292404174805, 'total': 0.10345768928527832}"
32,39,34,13,21,26,0.38235294117647056,0.3333333333333333,"{'preprocess': 0.0581202507019043, 'inference': 0.005802631378173828, 'postprocess': 0.038913726806640625, 'total': 0.10283660888671875}"
33,39,31,12,19,27,0.3870967741935484,0.3076923076923077,"{'preprocess': 0.05836892127990723, 'inference': 0.005858659744262695, 'postprocess': 0.03873491287231445, 'total': 0.10296249389648438}"
34,38,36,13,23,25,0.3611111111111111,0.34210526315789475,"{'preprocess': 0.05880165100097656, 'inference': 0.006211757659912109, 'postprocess': 0.038808345794677734, 'total': 0.1038217544555664}"
35,38,30,12,18,26,0.4,0.3157894736842105,"{'preprocess': 0.05933356285095215, 'inference': 0.0058116912841796875, 'postprocess': 0.039229631423950195, 'total': 0.10437488555908203}"
36,39,34,13,21,26,0.38235294117647056,0.3333333333333333,"{'preprocess': 0.05924201011657715, 'inference': 0.005799055099487305, 'postprocess': 0.039237022399902344, 'total': 0.1042780876159668}"
37,38,34,12,22,26,0.35294117647058826,0.3157894736842105,"{'preprocess': 0.0590510368347168, 'inference': 0.0061457157135009766, 'postprocess': 0.04048633575439453, 'total': 0.1056830883026123}"
38,38,33,13,20,25,0.3939393939393939,0.34210526315789475,"{'preprocess': 0.05842018127441406, 'inference': 0.005934000015258789, 'postprocess': 0.040300607681274414, 'total': 0.10465478897094727}"
39,38,34,13,21,25,0.38235294117647056,0.34210526315789475,"{'preprocess': 0.058190107345581055, 'inference': 0.005861997604370117, 'postprocess': 0.03870129585266113, 'total': 0.1027534008026123}"
40,39,35,14,21,25,0.4,0.358974358974359,"{'preprocess': 0.05809426307678223, 'inference': 0.005845308303833008, 'postprocess': 0.03881502151489258, 'total': 0.10275459289550781}"
41,38,35,13,22,25,0.37142857142857144,0.34210526315789475,"{'preprocess': 0.05772900581359863, 'inference': 0.0061130523681640625, 'postprocess': 0.03855299949645996, 'total': 0.10239505767822266}"
42,38,34,14,20,24,0.4117647058823529,0.3684210526315789,"{'preprocess': 0.05840420722961426, 'inference': 0.006049394607543945, 'postprocess': 0.038606882095336914, 'total': 0.10306048393249512}"
43,39,34,12,22,27,0.35294117647058826,0.3076923076923077,"{'preprocess': 0.05742955207824707, 'inference': 0.005796909332275391, 'postprocess': 0.03881716728210449, 'total': 0.10204362869262695}"
44,40,33,11,22,29,0.3333333333333333,0.275,"{'preprocess': 0.06029868125915527, 'inference': 0.006868839263916016, 'postprocess': 0.03797030448913574, 'total': 0.10513782501220703}"
45,41,34,12,22,29,0.35294117647058826,0.2926829268292683,"{'preprocess': 0.05857729911804199, 'inference': 0.005878448486328125, 'postprocess': 0.04195094108581543, 'total': 0.10640668869018555}"
46,42,31,12,19,30,0.3870967741935484,0.2857142857142857,"{'preprocess': 0.05927634239196777, 'inference': 0.0060770511627197266, 'postprocess': 0.040023088455200195, 'total': 0.1053764820098877}"
47,42,35,11,24,31,0.3142857142857143,0.2619047619047619,"{'preprocess': 0.05815243721008301, 'inference': 0.0061609745025634766, 'postprocess': 0.03991222381591797, 'total': 0.10422563552856445}"
48,42,38,15,23,27,0.39473684210526316,0.35714285714285715,"{'preprocess': 0.05795097351074219, 'inference': 0.005964517593383789, 'postprocess': 0.04010772705078125, 'total': 0.10402321815490723}"
49,42,33,13,20,29,0.3939393939393939,0.30952380952380953,"{'preprocess': 0.05829262733459473, 'inference': 0.00605010986328125, 'postprocess': 0.040906667709350586, 'total': 0.10524940490722656}"
50,41,33,13,20,28,0.3939393939393939,0.3170731707317073,"{'preprocess': 0.05780816078186035, 'inference': 0.006003379821777344, 'postprocess': 0.04103732109069824, 'total': 0.10484886169433594}"
51,41,31,13,18,28,0.41935483870967744,0.3170731707317073,"{'preprocess': 0.058840274810791016, 'inference': 0.006073474884033203, 'postprocess': 0.0386812686920166, 'total': 0.10359501838684082}"
52,41,30,11,19,30,0.36666666666666664,0.2682926829268293,"{'preprocess': 0.05952954292297363, 'inference': 0.006052970886230469, 'postprocess': 0.03858351707458496, 'total': 0.10416603088378906}"
53,42,39,12,27,30,0.3076923076923077,0.2857142857142857,"{'preprocess': 0.057912588119506836, 'inference': 0.0058095455169677734, 'postprocess': 0.03878164291381836, 'total': 0.10250377655029297}"
54,42,35,11,24,31,0.3142857142857143,0.2619047619047619,"{'preprocess': 0.05908083915710449, 'inference': 0.005820751190185547, 'postprocess': 0.038864850997924805, 'total': 0.10376644134521484}"
55,42,37,12,25,30,0.32432432432432434,0.2857142857142857,"{'preprocess': 0.0588226318359375, 'inference': 0.005826711654663086, 'postprocess': 0.03881072998046875, 'total': 0.10346007347106934}"
56,41,32,15,17,26,0.46875,0.36585365853658536,"{'preprocess': 0.058164358139038086, 'inference': 0.006039142608642578, 'postprocess': 0.03865551948547363, 'total': 0.1028590202331543}"
57,41,36,13,23,28,0.3611111111111111,0.3170731707317073,"{'preprocess': 0.058425188064575195, 'inference': 0.006101131439208984, 'postprocess': 0.03860020637512207, 'total': 0.10312652587890625}"
58,43,38,17,21,26,0.4473684210526316,0.3953488372093023,"{'preprocess': 0.06677556037902832, 'inference': 0.006232500076293945, 'postprocess': 0.038916826248168945, 'total': 0.11192488670349121}"
59,43,38,14,24,29,0.3684210526315789,0.32558139534883723,"{'preprocess': 0.05749797821044922, 'inference': 0.005776166915893555, 'postprocess': 0.039325714111328125, 'total': 0.1025998592376709}"
60,43,33,16,17,27,0.48484848484848486,0.37209302325581395,"{'preprocess': 0.057859182357788086, 'inference': 0.006122112274169922, 'postprocess': 0.039220333099365234, 'total': 0.10320162773132324}"
61,43,33,13,20,30,0.3939393939393939,0.3023255813953488,"{'preprocess': 0.05825233459472656, 'inference': 0.006128072738647461, 'postprocess': 0.03848743438720703, 'total': 0.10286784172058105}"
62,41,38,13,25,28,0.34210526315789475,0.3170731707317073,"{'preprocess': 0.05750465393066406, 'inference': 0.005864620208740234, 'postprocess': 0.038745880126953125, 'total': 0.10211515426635742}"
63,41,38,11,27,30,0.2894736842105263,0.2682926829268293,"{'preprocess': 0.05834841728210449, 'inference': 0.00588226318359375, 'postprocess': 0.03885459899902344, 'total': 0.10308527946472168}"
