model,params_M,precision,recall,f1,tp,fp,fn,avg_confidence,detections_per_frame
yolov8n,3.151904,0.6535947712418301,0.38071065989847713,0.4811547714514835,300,159,488,0.5532973576215358,9.18
yolov8s,11.156544,0.7571701720841301,0.5025380710659898,0.6041189931350114,396,127,392,0.5950101386634615,10.46
yolov8m,25.88608,0.6872037914691943,0.5520304568527918,0.6122448979591836,435,198,353,0.5655179221012393,12.66
yolov8l,43.668288,0.6905901116427432,0.549492385786802,0.6120141342756183,433,194,355,0.5724752553912441,12.54
yolov8x,68.200608,0.7088068181818182,0.633248730964467,0.6689008042895443,499,205,289,0.5911113023757935,14.08
