model,params_M,precision,recall,f1,tp,fp,fn,avg_confidence,detections_per_frame,avg_inference_ms,std_inference_ms,fps,total_frames
yolov8n,3.151904,0.6854293441514537,0.45520880107768297,0.5470858067997841,4055,1861,4853,0.570460847351622,9.86,11.043590482634803,61.30313704428694,90.55026094750825,600
yolov8s,11.156544,0.7302338929545128,0.5712842388863942,0.6410530956729861,5089,1880,3819,0.5987890351920238,11.615,10.932662276706347,7.18167531315633,91.46902874066163,600
yolov8m,25.88608,0.692823693203392,0.6145038167938931,0.6513177464453566,5474,2427,3434,0.5836626639804905,13.168333333333333,11.658885623328388,16.951716336331014,85.77149071598141,600
yolov8l,43.668288,0.7060420909708078,0.5837449483610238,0.6390954341547348,5200,2165,3708,0.6042099997168565,12.275,13.372039933068057,22.84782264422462,74.7829056004443,600
yolov8x,68.200608,0.7092834890965732,0.6389762011674899,0.6722966987539125,5692,2333,3216,0.6135903206792576,13.375,12.742390014075985,20.181734931418333,78.47821318413122,600
