frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
60,5,3,9,14,8,0.49925150349736214,7.325897924602032
61,4,2,10,14,6,0.5521598905324936,9.403335861861706
62,4,3,9,13,7,0.5405672831194741,11.225339956581593
63,5,3,8,13,8,0.5150386281311512,8.596529252827168
64,5,2,8,13,7,0.5412084289959499,8.417469915002584
65,4,2,10,14,6,0.5953096201022466,7.822845131158829
66,5,3,10,15,8,0.5359129421412945,9.876923635601997
67,6,2,9,15,8,0.5271720960736275,8.524614851921797
68,6,2,9,15,8,0.5307968780398369,7.441139779984951
69,5,1,10,15,6,0.6224654018878937,10.442967992275953
70,6,1,9,15,7,0.5755081602505275,7.7658481895923615
71,6,2,9,15,8,0.5423077270388603,8.357408922165632
72,5,1,10,15,6,0.6185076236724854,8.061792701482773
73,5,3,10,15,8,0.5200950056314468,8.598469197750092
74,6,1,9,15,7,0.5431692898273468,9.681120980530977
75,5,0,10,15,5,0.6141708374023438,7.772466167807579
76,5,3,10,15,8,0.5107203833758831,8.408141322433949
77,6,2,9,15,8,0.5123065784573555,8.772782981395721
78,5,5,11,16,10,0.48399261832237245,8.269072975963354
79,6,6,10,16,12,0.44590406864881516,8.981508668512106
80,5,5,11,16,10,0.44837644398212434,8.109512738883495
81,6,4,9,15,10,0.44535531997680666,8.408309891819954
82,5,4,9,14,9,0.46678052677048576,9.61221382021904
83,5,4,9,14,9,0.45236852433946395,7.067751605063677
84,5,4,9,14,9,0.4580707550048828,6.835144013166428
85,5,4,9,14,9,0.4572094678878784,8.708291221410036
86,5,4,9,14,9,0.4841822220219506,8.152099791914225
87,5,2,9,14,7,0.5137817731925419,8.968350943177938
88,4,3,10,14,7,0.5005859306880406,8.260834962129593
89,4,4,10,14,8,0.47490744665265083,8.659825194627047
90,4,3,10,14,7,0.4960298538208008,9.656940586864948
91,6,2,10,16,8,0.4915204234421253,7.485901936888695
92,6,3,10,16,9,0.46495000190205044,8.570624981075525
93,5,5,10,15,10,0.4334476560354233,10.465944185853004
94,5,3,9,14,8,0.46887633204460144,7.99406785517931
95,5,3,9,14,8,0.48852595686912537,8.326481096446514
96,4,2,10,14,6,0.5399293104807535,9.618462063372135
97,4,3,10,14,7,0.5170032041413444,7.682035677134991
98,5,2,8,13,7,0.505652734211513,8.994224015623331
99,5,1,8,13,6,0.5957703242699305,10.789908934384584
100,5,2,8,13,7,0.563059253352029,8.88172397390008
101,5,3,9,14,8,0.565429087728262,8.764996659010649
102,5,3,9,14,8,0.5846727602183819,10.243012104183435
103,5,3,8,13,8,0.55594202876091,8.522107731550932
104,5,3,9,14,8,0.541170310229063,8.191854227334261
105,5,2,8,13,7,0.5596432558127812,9.788390714675188
106,5,2,8,13,7,0.5468764219965253,10.635768994688988
107,5,2,8,13,7,0.528013791356768,8.03413800895214
108,5,3,8,13,8,0.5160892158746719,7.668022066354752
109,5,2,8,13,7,0.5471524936812264,7.757227867841721
110,5,1,8,13,6,0.5608542760213217,8.333035744726658
111,5,2,6,11,7,0.51270791888237,8.569925092160702
112,5,2,6,11,7,0.5251228766781944,8.454036898911
113,5,2,6,11,7,0.5374283705438886,7.230360992252827
114,5,1,6,11,6,0.5779878050088882,8.571747224777937
115,4,1,8,12,5,0.6468324601650238,8.34374688565731
116,5,1,7,12,6,0.583916703859965,8.600899018347263
117,5,1,7,12,6,0.5967688113451004,10.665382258594036
118,6,1,6,12,7,0.5488206488745553,7.329525891691446
119,5,2,7,12,7,0.5264407566615513,7.171794772148132
120,5,1,7,12,6,0.5445254643758138,9.143669158220291
121,5,2,8,13,7,0.4977704073701586,7.6769087463617325
122,5,3,7,12,8,0.4700908996164799,7.530885748565197
123,5,2,7,12,7,0.5132578611373901,9.742392227053642
124,6,3,6,12,9,0.4635891550117069,7.239241618663073
125,6,2,6,12,8,0.5009134039282799,7.958483882248402
126,4,1,8,12,5,0.6427974224090576,8.910216856747866
127,4,2,8,12,6,0.5699481268723806,8.209642954170704
128,4,3,9,13,7,0.5251281346593585,8.736874908208847
129,4,2,9,13,6,0.5459027687708536,9.556133765727282
130,4,2,9,13,6,0.562499796350797,7.563767023384571
131,4,2,10,14,6,0.5578340490659078,7.732017897069454
132,3,1,11,14,4,0.6931310594081879,10.374497156590223
133,3,2,11,14,5,0.5976719319820404,7.9933032393455505
134,5,2,10,15,7,0.5033074234213147,7.849743124097586
135,5,2,11,16,7,0.49385798403194975,9.71513707190752
136,4,2,13,17,6,0.539971798658371,7.8506991267204285
137,4,1,13,17,5,0.6106902837753296,11.238466016948223
138,4,1,13,17,5,0.6239993870258331,12.627930846065283
139,4,1,13,17,5,0.6258783996105194,7.765458896756172
140,4,1,13,17,5,0.6280423045158386,7.955766282975674
141,5,1,12,17,6,0.5787836313247681,9.414201136678457
142,5,1,12,17,6,0.5513533502817154,8.149822242558002
143,4,1,13,17,5,0.6103661358356476,8.839801885187626
144,5,1,12,17,6,0.5223392248153687,8.912976365536451
145,5,2,11,16,7,0.5046148555619376,7.464366964995861
146,7,1,9,16,8,0.5066060051321983,7.953427731990814
147,6,1,10,16,7,0.538304192679269,9.456399828195572
148,6,1,10,16,7,0.5405154866831643,7.560513913631439
149,6,2,9,15,8,0.5153410919010639,7.369698025286198
150,6,0,9,15,6,0.6084825942913691,9.547064080834389
151,8,0,7,15,8,0.5235490873456001,8.25754925608635
152,8,0,7,15,8,0.5331375114619732,8.375430013984442
153,7,3,8,15,10,0.4842982292175293,10.210205800831318
154,8,1,8,16,9,0.5438625713189443,7.453016005456448
155,8,2,7,15,10,0.5172057300806046,7.2341542690992355
