model,sequence,model_params_M,model_size_mb,mota,motp,idf1,mt,ml,fp,fn,id_switches,fragmentations,num_objects,num_predictions,mt_percentage,ml_percentage,avg_inference_time,fps,max_memory_gb,total_frames,total_detections,avg_detections_per_frame
yolov8n,MOT17-02-FRCNN,3.1572,12.04376220703125,0.5003726179069523,0.508312624458125,1.1848090553263513,0,52,0,9333,13,0,9393,60,0.0,0.5536037474715213,0.05428063948949178,18.422774849467103,0.031095504760742188,600,5625,9.375
yolov8s,MOT17-02-FRCNN,11.16656,42.5970458984375,0.5642499733844342,0.5745240513473994,1.2044374009508716,0,52,0,9321,19,0,9393,72,0.0,0.5536037474715213,0.053575935363769533,18.665096432011996,4.76837158203125e-07,600,6611,11.018333333333333
