model,sequence,model_params_M,model_size_mb,mota,motp,idf1,mt,ml,fp,fn,id_switches,fragmentations,num_objects,num_predictions,mt_percentage,ml_percentage,avg_inference_time,fps,max_memory_gb,total_frames,total_detections,avg_detections_per_frame
yolov8n,MOT17-02-FRCNN,3.1572,12.04376220703125,0.5003726179069523,0.508312624458125,1.1848090553263513,0,52,0,9333,13,0,9393,60,0.0,0.5536037474715213,0.0542806394894917,18.422774849467103,0.0310955047607421,600,5625,9.375
yolov8s,MOT17-02-FRCNN,11.16656,42.5970458984375,0.5642499733844342,0.5745240513473994,1.2044374009508716,0,52,0,9321,19,0,9393,72,0.0,0.5536037474715213,0.0535759353637695,18.665096432012,4.76837158203125e-07,600,6611,11.018333333333333
yolov8m,MOT17-02-FRCNN,25.90264,98.81072998046876,0.6068348770360887,0.4700166207091515,1.3524936601859678,0,52,7,9329,0,0,9393,71,0.0,0.5536037474715213,0.0756113831202189,13.22552185575077,0.0468974113464355,600,12181,20.301666666666662
yolov8l,MOT17-02-FRCNN,43.69152,166.669921875,0.6813584584264842,0.4690549712613682,1.3954963526799873,0,52,0,9327,2,2,9393,66,0.0,0.5536037474715213,0.074690050681432,13.388664097514123,0.000777244567871,600,11333,18.88833333333333
yolov8x,MOT17-02-FRCNN,68.229648,260.27545166015625,0.628127328861916,0.46928829248623,1.3736263736263736,0,52,6,9328,0,0,9393,71,0.0,0.5536037474715213,0.0839176122347513,11.916449638755177,0.0021142959594726,600,11648,19.41333333333333
