frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
118,7,2,5,12,9,0.5586119062370725,8.770568761974573
119,8,1,4,12,9,0.5545189811123742,6.664631888270378
120,7,3,5,12,10,0.49735173881053923,7.30092404410243
121,6,2,7,13,8,0.5734074972569942,9.97151993215084
122,6,2,6,12,8,0.5545918941497803,8.928345050662756
123,6,1,6,12,7,0.6350185658250537,8.704595267772675
124,7,2,5,12,9,0.5561600824197134,7.501255255192518
125,6,2,6,12,8,0.6059123016893864,7.717537228018045
126,7,1,5,12,8,0.5963443927466869,8.732310961931944
127,6,3,6,12,9,0.5659030179182688,9.376975242048502
128,5,4,8,13,9,0.5759836600886451,7.745124865323305
129,5,3,8,13,8,0.5634191669523716,7.225637789815664
130,5,3,8,13,8,0.5582523308694363,8.303835056722164
131,6,1,8,14,7,0.6133237055369786,7.749387063086033
132,5,2,9,14,7,0.545305324452264,7.258520927280188
133,5,2,9,14,7,0.5706682290349688,10.445054154843092
134,9,1,6,15,10,0.4967899680137634,9.442922193557024
135,9,0,7,16,9,0.5242654648092058,8.295686915516853
136,8,1,9,17,9,0.5124509268336825,6.916665006428957
137,7,1,10,17,8,0.5388124994933605,7.639128714799881
138,5,0,12,17,5,0.6636730134487152,9.281603153795004
139,6,0,11,17,6,0.616833875576655,9.43891890347004
140,6,1,11,17,7,0.576308297259467,7.609729189425707
141,7,0,10,17,7,0.576610769544329,8.204242214560509
142,7,0,10,17,7,0.5943189093044826,8.843052200973034
143,7,0,10,17,7,0.5909534735339028,7.984557189047337
144,7,1,10,17,8,0.5766910202801228,7.666601799428463
145,7,1,9,16,8,0.5677706748247147,8.235425688326359
146,7,2,9,16,9,0.5497620403766632,7.773994002491236
147,9,0,7,16,9,0.5610192451212141,7.623740937560797
148,10,1,6,16,11,0.5165193974971771,9.432577062398195
149,9,2,6,15,11,0.5465383963151411,8.54859920218587
150,9,1,6,15,10,0.5918836414813995,8.229719940572977
151,10,2,5,15,12,0.5734537045160929,8.132018614560366
152,10,0,5,15,10,0.6062565892934799,9.55566531047225
153,9,1,6,15,10,0.6072198897600174,9.092001710087061
154,8,3,8,16,11,0.5646064985882152,7.877247873693705
155,9,3,6,15,12,0.5279792199532191,7.47514795511961
156,8,1,7,15,9,0.6285155879126655,10.267154779285192
157,9,0,6,15,9,0.6247336566448212,8.535016793757677
158,10,0,5,15,10,0.6072035580873489,7.444398012012243
159,9,1,6,15,10,0.5906038522720337,10.042146779596806
160,9,1,6,15,10,0.6013993859291077,7.6401010155677795
161,10,1,4,14,11,0.5987599925561384,9.147514123469591
162,11,1,3,14,12,0.5768447096149126,10.401651728898287
163,10,1,4,14,11,0.6080567890947516,7.883042097091675
164,8,2,5,13,10,0.6440453588962555,7.143575232475996
165,8,3,5,13,11,0.6206195110624487,9.236207697540522
