frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
1,8,4,7,15,12,0.548334131638209,423.28445985913277
2,8,2,8,16,10,0.6118510335683822,11.690167244523764
3,8,2,8,16,10,0.6148693561553955,11.854060925543308
4,8,2,8,16,10,0.6175772100687027,11.466722935438156
5,8,3,8,16,11,0.5932915048165754,13.606621883809566
6,9,3,7,16,12,0.5517565136154493,11.76055334508419
7,9,5,7,16,14,0.5273661059992654,13.235669117420912
8,8,5,8,16,13,0.5222440178577716,13.523407746106386
9,10,2,7,17,12,0.53692493836085,13.92372976988554
10,9,3,8,17,12,0.5574716130892435,16.742296051234007
11,10,3,7,17,13,0.5543298148191892,14.083195012062788
12,8,6,9,17,14,0.5207307168415615,14.513509348034859
13,9,4,7,16,13,0.5343105357426864,13.013650197535753
14,7,5,9,16,12,0.5733098089694977,13.362817000597715
15,8,6,8,16,14,0.5361924639769963,12.357354164123535
16,7,6,9,16,13,0.5729265694434826,13.92428483814001
17,8,5,8,16,13,0.5768664662654583,10.412454139441252
18,8,4,8,16,12,0.5730990891655287,13.814767822623253
19,8,6,8,16,14,0.5176151032958712,11.935539077967405
20,7,5,8,15,12,0.5529593502481779,14.533203095197678
21,8,6,7,15,14,0.517394136105265,14.301822055131197
22,7,6,8,15,13,0.5347184561766111,13.215710874646902
23,9,2,6,15,11,0.5945095717906952,16.929497942328453
24,9,4,7,16,13,0.5640870722440573,11.962038930505514
25,9,3,7,16,12,0.6119851743181547,15.104083344340324
26,9,3,6,15,12,0.5972619131207466,13.939783908426762
27,8,4,7,15,12,0.6053901438911756,14.458496123552322
28,9,3,6,15,12,0.6124119932452837,11.588159948587418
29,10,4,5,15,14,0.5548204907349178,11.077705770730972
30,9,5,7,16,14,0.5671023683888572,14.352103229612112
31,10,6,6,16,16,0.5296674557030201,14.46987222880125
32,10,3,7,17,13,0.5716916024684906,13.807485345751047
33,11,4,6,17,15,0.5315337161223094,14.174713753163815
34,10,5,7,17,15,0.5508129835128784,16.997499857097864
35,10,3,7,17,13,0.586836250928732,13.35759973153472
36,9,4,7,16,13,0.586583694586387,16.336793545633554
37,10,1,6,16,11,0.634859258478338,11.06552081182599
38,11,3,5,16,14,0.5777591275317329,13.555319979786873
39,9,4,7,16,13,0.6134847815220172,11.201050132513046
40,9,4,6,15,13,0.5756497016319861,16.11666614189744
41,11,3,4,15,14,0.5376079593385968,13.093961402773857
42,10,4,5,15,14,0.5503258215529578,14.970968943089247
43,9,4,6,15,13,0.6023540496826172,16.713859047740698
44,7,4,8,15,11,0.6320990811694752,11.480576358735561
45,7,5,8,15,12,0.5546071926752726,16.496404074132442
46,8,6,7,15,14,0.5175508282014302,14.698497951030731
47,9,4,6,15,13,0.5571930041679969,16.612919978797436
48,8,2,7,15,10,0.6338012844324112,14.298941940069199
49,8,3,7,15,11,0.5583400130271912,12.522907927632332
50,7,5,8,15,12,0.5413866713643074,14.73803399130702
51,9,3,6,15,12,0.5461618180076281,14.193547889590263
52,8,2,7,15,10,0.6252066642045975,11.511526070535183
53,9,2,6,15,11,0.5870386958122253,13.630195055156946
54,8,3,7,15,11,0.618474618955092,11.49266678839922
55,6,4,9,15,10,0.6482804298400879,11.055499780923128
56,6,5,9,15,11,0.6219326772473075,12.151159346103668
57,6,6,8,14,12,0.5746997222304344,12.087530922144651
58,7,5,8,15,12,0.5767700374126434,11.771420016884804
59,7,7,8,15,14,0.5062703383820397,15.12126438319683
60,8,7,6,14,15,0.4922627588113149,13.079460710287094
61,9,4,5,14,13,0.5329978878681476,14.37147706747055
62,7,7,6,13,14,0.492718368768692,15.013550408184528
63,8,5,5,13,13,0.5038319826126099,14.22702195122838
64,10,4,3,13,14,0.47289579042366575,17.001395113766193
65,9,5,5,14,14,0.48409171402454376,13.172087725251913
66,10,2,5,15,12,0.49819662421941757,15.931284986436367
67,9,3,6,15,12,0.4946053127447764,11.037812102586031
68,8,5,7,15,13,0.48787954678902257,16.85215486213565
69,7,5,8,15,12,0.5177002847194672,14.24937229603529
70,8,5,7,15,13,0.505187234053245,11.276077013462782
71,8,4,7,15,12,0.5076274399956068,13.066423125565052
72,8,4,7,15,12,0.49464933822552365,14.117559883743525
73,9,5,6,15,14,0.46044755620615824,12.880226597189903
74,10,4,5,15,14,0.4572231152227947,15.805605333298445
75,8,3,7,15,11,0.5102383413098075,13.203680980950594
76,8,3,7,15,11,0.5095462880351327,14.14699200540781
77,8,3,7,15,11,0.5156963223760779,16.250971239060163
78,8,2,8,16,10,0.5543778419494629,14.30707611143589
79,8,2,8,16,10,0.5521720021963119,15.233837999403477
80,8,1,8,16,9,0.5629186398453183,11.747971177101135
81,9,4,6,15,13,0.4695022266644698,14.639866072684526
82,8,2,6,14,10,0.565926906466484,12.810104060918093
83,8,4,6,14,12,0.523734837770462,13.323933351784945
84,8,5,6,14,13,0.4926737684469957,11.954485904425383
85,8,2,6,14,10,0.549217888712883,14.497067779302597
86,7,3,7,14,10,0.5415541499853134,11.053454130887985
87,7,3,7,14,10,0.5386648058891297,10.987700428813696
88,8,3,6,14,11,0.5075514831326224,13.640858698636293
89,8,2,6,14,10,0.5634963661432266,12.531760148704052
90,9,3,5,14,12,0.5236201311151186,12.378124985843897
91,10,1,6,16,11,0.5463530448350039,15.38791274651885
92,8,2,8,16,10,0.5635218977928161,11.347407009452581
93,6,3,9,15,9,0.6012865768538581,14.207321684807539
94,8,3,6,14,11,0.5350852391936562,11.490139178931713
95,7,4,7,14,11,0.522632588039745,14.224485028535128
96,7,4,7,14,11,0.5366042879494753,11.96111598983407
97,7,3,7,14,10,0.5651947438716889,12.0502975769341
98,8,2,5,13,10,0.5730629712343216,12.09596311673522
99,10,2,3,13,12,0.5371599644422531,14.944765716791153
100,9,2,4,13,11,0.5604927594011481,14.907969627529383
101,9,2,5,14,11,0.5537162612784993,13.823539949953556
102,8,2,6,14,10,0.5843994051218033,16.880984883755445
103,9,3,4,13,12,0.5143564691146215,14.887939672917128
104,9,2,5,14,11,0.5424779816107317,17.64236530289054
105,9,2,4,13,11,0.540654025294564,14.168306719511747
106,9,2,4,13,11,0.5162838236852125,13.506514951586723
107,7,3,6,13,10,0.5431774675846099,11.267336085438728
108,8,3,5,13,11,0.5197533748366616,12.719525955617428
109,8,3,5,13,11,0.5255784392356873,14.853339176625013
110,9,2,4,13,11,0.5087563693523407,15.026296954602003
111,8,2,3,11,10,0.5187907934188842,11.03296922519803
112,8,3,3,11,11,0.5132443444295363,14.695905148983002
113,8,2,3,11,10,0.5529678851366043,11.2357079051435
114,9,3,2,11,12,0.4948495551943779,11.636374983936548
115,8,3,4,12,11,0.5115257989276539,13.498004991561174
116,9,5,3,12,14,0.4523200009550367,14.17694566771388
117,8,3,4,12,11,0.4994625286622481,12.835776899009943
118,8,2,4,12,10,0.536985382437706,12.90694810450077
119,12,4,0,12,16,0.4537093937397003,13.15317489206791
120,9,6,3,12,15,0.47750579516092934,12.140534818172455
121,10,2,3,13,12,0.5344399164120356,12.618391308933496
122,9,3,3,12,12,0.5047046716014544,12.568738777190447
123,10,2,2,12,12,0.5353557914495468,13.55606084689498
124,10,2,2,12,12,0.5816161185503006,14.050974976271391
125,9,3,3,12,12,0.5382026508450508,15.220357105135918
126,10,3,2,12,13,0.5067276748327109,15.108517371118069
127,8,3,4,12,11,0.50448262962428,14.680997002869844
128,9,4,4,13,13,0.49709816850148714,13.759228866547346
129,8,3,5,13,11,0.5498056249185042,17.475854139775038
130,8,1,5,13,9,0.5833528935909271,15.385826118290424
131,8,1,6,14,9,0.5954268044895596,16.782856080681086
132,9,2,5,14,11,0.5394466763192957,11.996510904282331
133,10,3,4,14,13,0.48115157851806056,13.935178983956575
134,10,2,5,15,12,0.5125476097067198,11.899957899004221
135,9,2,7,16,11,0.5388227728280154,14.943133108317852
136,8,2,9,17,10,0.5398810476064682,11.809909250587225
137,10,2,7,17,12,0.48769987374544144,13.651240151375532
138,9,1,8,17,10,0.5266682714223861,11.931074317544699
139,9,5,8,17,14,0.45594069148812977,13.852848205715418
140,9,0,8,17,9,0.5496350427468618,12.901180889457464
141,8,0,9,17,8,0.5635049976408482,14.183401130139828
142,7,2,10,17,9,0.5087375475300683,12.751624453812838
143,8,0,9,17,8,0.5737405531108379,15.448684338480234
144,9,1,8,17,10,0.530036860704422,14.798081945627928
145,9,2,7,16,11,0.5139146122065458,12.540357187390327
146,9,0,7,16,9,0.5764442748493619,16.259280033409595
147,11,1,5,16,12,0.5074006219704946,13.770319987088442
148,11,0,5,16,11,0.542913780971007,18.718527629971504
149,8,1,7,15,9,0.5960817800627815,11.863038875162601
150,9,2,6,15,11,0.5364013585177335,15.171010047197342
151,10,2,5,15,12,0.5503446037570635,10.583213996142149
152,9,3,6,15,12,0.5289880906542143,11.851691640913486
153,9,1,6,15,10,0.592596036195755,12.47915206477046
154,9,2,7,16,11,0.550123845989054,14.455256052315235
155,8,4,7,15,12,0.5227925305565199,11.072495020925999
156,8,5,7,15,13,0.5162872924254491,14.728757087141275
157,8,3,7,15,11,0.556500253352252,11.280267033725977
158,9,2,6,15,11,0.5626447905193676,14.270246960222721
159,8,1,7,15,9,0.6093533966276381,12.368676718324423
160,11,2,4,15,13,0.5136796373587388,13.792703859508038
161,12,1,2,14,13,0.5301967836343325,13.965446967631578
162,12,1,2,14,13,0.5408148788488828,13.552295044064522
163,11,1,3,14,12,0.5767751360932986,14.730505179613829
164,10,3,3,13,13,0.5520666447969583,12.874894309788942
165,9,2,4,13,11,0.586169955405322,15.79529419541359
166,9,2,4,13,11,0.5926273952830922,14.05053585767746
167,9,3,4,13,12,0.5722304061055183,15.621725004166365
168,8,3,5,13,11,0.6048083657568152,10.676589794456959
169,9,2,4,13,11,0.569802687926726,14.972317032516003
170,9,1,4,13,10,0.5946436554193497,14.507248997688293
171,7,3,6,13,10,0.6130863547325134,14.962888322770596
172,10,1,3,13,11,0.5659306022253904,11.651449836790562
173,10,2,2,12,12,0.543104184170564,13.964436016976833
174,9,1,3,12,10,0.5919796109199524,11.78055815398693
175,10,3,2,12,13,0.5039741672002352,13.422379270195961
176,9,2,4,13,11,0.5529272258281708,11.86720421537757
177,10,2,3,13,12,0.5354393124580383,14.374498277902603
178,9,3,3,12,12,0.5215197851260504,12.998278252780437
179,8,3,4,12,11,0.5591759112748232,14.837158843874931
