model,sequence,model_params_M,model_size_mb,mota,motp,idf1,mt,ml,fp,fn,id_switches,fragmentations,num_objects,num_predictions,mt_percentage,ml_percentage,avg_inference_time,fps,max_memory_gb,total_frames,total_detections,avg_detections_per_frame
yolov8m,MOT17-02-FRCNN,25.90264,98.81072998046875,0.6068348770360887,0.4700166207091515,1.3524936601859678,0,52,7,9329,0,0,9393,71,0.0,0.5536037474715213,0.07561138312021891,13.22552185575077,0.04689741134643555,600,12181,20.301666666666666
yolov8l,MOT17-02-FRCNN,43.69152,166.669921875,0.6813584584264842,0.4690549712613682,1.3954963526799873,0,52,0,9327,2,2,9393,66,0.0,0.5536037474715213,0.07469005068143209,13.388664097514123,0.0007772445678710938,600,11333,18.888333333333332
yolov8x,MOT17-02-FRCNN,68.229648,260.27545166015625,0.628127328861916,0.46928829248623,1.3736263736263736,0,52,6,9328,0,0,9393,71,0.0,0.5536037474715213,0.08391761223475139,11.916449638755175,0.0021142959594726562,600,11648,19.413333333333334
